symbol,name,market,is_st
002221,东华能源,sz,false
002222,福晶科技,sz,false
002223,鱼跃医疗,sz,false
002224,三 力 士,sz,false
002225,濮耐股份,sz,false
002226,江南化工,sz,false
002227,*ST特迅,sz,true
002228,合兴包装,sz,false
002229,鸿博股份,sz,false
002230,科大讯飞,sz,false
002232,启明信息,sz,false
002233,塔牌集团,sz,false
002234,民和股份,sz,false
002235,安妮股份,sz,false
002236,大华股份,sz,false
002237,恒邦股份,sz,false
002238,天威视讯,sz,false
002239,奥特佳,sz,false
002240,盛新锂能,sz,false
002241,歌尔股份,sz,false
002242,九阳股份,sz,false
002243,力合科创,sz,false
002244,滨江集团,sz,false
002245,蔚蓝锂芯,sz,false
002246,北化股份,sz,false
002247,聚力文化,sz,false
002248,华东数控,sz,false
002249,大洋电机,sz,false
002250,联化科技,sz,false
002251,步步高,sz,false
002252,上海莱士,sz,false
002253,*ST智胜,sz,true
002254,泰和新材,sz,false
002255,海陆重工,sz,false
002256,兆新股份,sz,false
002258,利尔化学,sz,false
002259,升达林业,sz,false
002261,拓维信息,sz,false
002262,恩华药业,sz,false
002263,大东南,sz,false
002264,新 华 都,sz,false
002265,建设工业,sz,false
002266,浙富控股,sz,false
002267,陕天然气,sz,false
002268,电科网安,sz,false
002269,美邦服饰,sz,false
002270,华明装备,sz,false
002271,东方雨虹,sz,false
002272,川润股份,sz,false
002273,水晶光电,sz,false
002274,华昌化工,sz,false
002275,桂林三金,sz,false
002276,万马股份,sz,false
002277,友阿股份,sz,false
002278,神开股份,sz,false
002279,久其软件,sz,false
002281,光迅科技,sz,false
002282,博深股份,sz,false
002283,天润工业,sz,false
002284,亚太股份,sz,false
002285,世联行,sz,false
002286,保龄宝,sz,false
002287,奇正藏药,sz,false
002289,*ST宇顺,sz,true
002290,禾盛新材,sz,false
002291,遥望科技,sz,false
002292,奥飞娱乐,sz,false
002293,罗莱生活,sz,false
002294,信立泰,sz,false
002295,精艺股份,sz,false
002296,辉煌科技,sz,false
002297,博云新材,sz,false
002298,中电鑫龙,sz,false
002299,圣农发展,sz,false
002300,太阳电缆,sz,false
002301,齐心集团,sz,false
002302,西部建设,sz,false
002303,美盈森,sz,false
002304,洋河股份,sz,false
002305,*ST南置,sz,true
002306,*ST云网,sz,true
002307,北新路桥,sz,false
002309,中利集团,sz,false
002310,东方新能,sz,false
002311,海大集团,sz,false
002312,川发龙蟒,sz,false
002313,日海智能,sz,false
002314,南山控股,sz,false
002315,焦点科技,sz,false
002316,亚联发展,sz,false
002317,众生药业,sz,false
002318,久立特材,sz,false
002319,乐通股份,sz,false
002320,海峡股份,sz,false
002321,华英农业,sz,false
002322,理工能科,sz,false
002323,*ST雅博,sz,true
002324,普利特,sz,false
002326,永太科技,sz,false
002327,富安娜,sz,false
002328,新朋股份,sz,false
002329,皇氏集团,sz,false
002330,得利斯,sz,false
002331,皖通科技,sz,false
002332,仙琚制药,sz,false
002333,罗普斯金,sz,false
002334,英威腾,sz,false
002335,科华数据,sz,false
002337,赛象科技,sz,false
002338,奥普光电,sz,false
002339,积成电子,sz,false
002340,格林美,sz,false
002342,巨力索具,sz,false
002343,慈文传媒,sz,false
002344,海宁皮城,sz,false
002345,潮宏基,sz,false
002346,柘中股份,sz,false
002347,泰尔股份,sz,false
002348,高乐股份,sz,false
002349,精华制药,sz,false
002350,北京科锐,sz,false
002351,漫步者,sz,false
002352,顺丰控股,sz,false
002353,杰瑞股份,sz,false
002354,天娱数科,sz,false
002355,兴民智通,sz,false
002356,赫美集团,sz,false
002357,富临运业,sz,false
002358,森源电气,sz,false
002360,ST同德,sz,true
002361,神剑股份,sz,false
002362,汉王科技,sz,false
002363,隆基机械,sz,false
002364,中恒电气,sz,false
002365,永安药业,sz,false
002366,融发核电,sz,false
002367,康力电梯,sz,false
002368,太极股份,sz,false
002369,卓翼科技,sz,false
002370,亚太药业,sz,false
002371,北方华创,sz,false
002372,伟星新材,sz,false
002373,千方科技,sz,false
002374,中锐股份,sz,false
002375,亚厦股份,sz,false
002376,新北洋,sz,false
002377,国创高新,sz,false
002378,章源钨业,sz,false
002379,宏桥控股,sz,false
002380,科远智慧,sz,false
002381,双箭股份,sz,false
002382,蓝帆医疗,sz,false
002383,合众思壮,sz,false
002384,东山精密,sz,false
002385,大北农,sz,false
002386,天原股份,sz,false
002387,维信诺,sz,false
002388,新亚制程,sz,false
002389,航天彩虹,sz,false
002390,信邦制药,sz,false
002391,长青股份,sz,false
002392,北京利尔,sz,false
002393,力生制药,sz,false
002394,联发股份,sz,false
002395,双象股份,sz,false
002396,星网锐捷,sz,false
002397,梦洁股份,sz,false
002398,垒知集团,sz,false
002399,海普瑞,sz,false
002400,省广集团,sz,false
002401,中远海科,sz,false
002402,和而泰,sz,false
002403,爱仕达,sz,false
002404,嘉欣丝绸,sz,false
002405,四维图新,sz,false
002406,远东传动,sz,false
002407,多氟多,sz,false
002408,齐翔腾达,sz,false
002409,雅克科技,sz,false
002410,广联达,sz,false
002412,汉森制药,sz,false
002413,雷科防务,sz,false
002414,高德红外,sz,false
002415,海康威视,sz,false
002416,爱施德,sz,false
002418,康盛股份,sz,false
002419,天虹股份,sz,false
002420,毅昌科技,sz,false
002421,达实智能,sz,false
002422,科伦药业,sz,false
002423,中粮资本,sz,false
002424,ST百灵,sz,true
002425,凯撒文化,sz,false
002426,胜利精密,sz,false
002427,尤夫股份,sz,false
002428,云南锗业,sz,false
002429,兆驰股份,sz,false
002430,杭氧股份,sz,false
002431,ST棕榈,sz,true
002432,九安医疗,sz,false
002434,万里扬,sz,false
002436,兴森科技,sz,false
002437,誉衡药业,sz,false
002438,江苏神通,sz,false
002439,启明星辰,sz,false
002440,闰土股份,sz,false
002441,众业达,sz,false
002442,龙星科技,sz,false
002443,金洲管道,sz,false
002444,巨星科技,sz,false
002445,中南文化,sz,false
002446,盛路通信,sz,false
002448,中原内配,sz,false
002449,国星光电,sz,false
002451,摩恩电气,sz,false
002452,长高电气,sz,false
002453,华软科技,sz,false
002454,松芝股份,sz,false
002455,百川股份,sz,false
002456,欧菲光,sz,false
002457,青龙管业,sz,false
002458,益生股份,sz,false
002459,晶澳科技,sz,false
002460,赣锋锂业,sz,false
002461,珠江啤酒,sz,false
002462,嘉事堂,sz,false
002463,沪电股份,sz,false
002465,海格通信,sz,false
002466,天齐锂业,sz,false
002467,二六三,sz,false
002468,申通快递,sz,false
002469,三维化学,sz,false
002470,金正大,sz,false
002471,中超控股,sz,false
002472,双环传动,sz,false
002474,榕基软件,sz,false
002475,立讯精密,sz,false
002476,宝莫股份,sz,false
002478,常宝股份,sz,false
002479,富春环保,sz,false
002480,新筑股份,sz,false
002481,双塔食品,sz,false
002482,广田集团,sz,false
002483,润邦股份,sz,false
002484,江海股份,sz,false
002485,ST雪发,sz,true
002486,嘉麟杰,sz,false
002487,大金重工,sz,false
002488,金固股份,sz,false
002489,浙江永强,sz,false
002490,山东墨龙,sz,false
002491,通鼎互联,sz,false
002492,恒基达鑫,sz,false
002493,荣盛石化,sz,false
002494,华斯股份,sz,false
002495,佳隆股份,sz,false
002496,*ST辉丰,sz,true
